tsne-2d-one,tsne-2d-two,cluster
-2.5072904,-23.667587,2
15.063281,28.465248,3
-48.852768,-13.738211,4
-67.84822,-4.3849726,4
71.149185,12.77343,0
-45.841278,-11.353383,4
31.161377,-28.95838,2
-43.071095,-13.452686,1
-18.298458,-11.536457,2
-35.316692,32.245277,1
-30.099117,-31.29572,2
12.002339,31.692028,2
-19.916113,-12.387033,1
-29.97941,-19.78781,1
23.188177,-28.233896,2
33.757824,-33.79174,2
39.249016,14.736348,0
-5.166295,-24.515083,2
-45.169006,-9.046104,1
24.335712,-8.762963,2
66.27968,8.546313,0
18.962406,-27.084335,2
16.064718,31.468557,3
-53.01359,-8.52292,4
-73.934074,-3.3428173,4
-29.070929,-29.195648,1
70.78716,7.568961,0
7.664944,-26.697388,2
32.026173,-10.329633,0
1.1331387,-25.145006,2
-34.719784,-9.0247555,1
-2.0125282,-16.319818,2
-29.974112,-19.79174,1
-48.069004,-18.09883,4
18.938677,-27.091387,2
26.92271,-20.50491,2
-3.095886,-41.16613,2
15.9084015,31.623375,3
-23.248463,-13.848446,1
-34.890804,-30.611963,1
-26.44067,10.2168255,1
67.38883,17.038315,0
-31.445822,-10.466009,1
-3.1211507,-41.16888,2
-47.931885,-5.988079,4
-28.551275,-24.274527,1
-40.126003,-21.108528,1
-49.682987,-10.130688,4
-43.99069,-16.613567,1
-48.494106,-10.480295,4
0.71138716,-43.869904,2
66.06925,17.645718,0
-33.19857,25.764967,1
68.365204,0.02511362,0
-70.462425,-8.511379,4
-48.188885,-5.026829,1
26.195518,17.273977,3
-1.7832414,-3.9033186,3
-43.50948,-17.486986,1
36.811176,11.719694,0
10.395543,-30.188972,2
17.525969,-17.73562,2
-9.864549,0.2663523,1
-18.185602,-17.281912,1
24.377762,27.751072,2
25.614454,-30.004772,2
-74.032715,-5.1042347,4
11.126159,2.9506178,3
-51.377937,-11.338608,4
-41.550488,6.182597,1
-58.584595,7.752952,4
-9.059904,-23.541208,2
68.849304,7.368031,0
-69.986824,-4.2977214,4
15.12524,-4.315258,2
-0.7867304,0.7300507,2
-26.640472,-7.993353,1
23.374891,-26.008003,2
-40.27697,-9.756094,1
62.83659,11.04305,0
25.537664,-23.8833,2
-48.144173,-11.928677,4
-12.415042,-27.419718,2
-55.51957,-3.710771,4
27.658306,-9.243967,0
-39.136715,10.032682,1
-29.47872,-20.593239,2
38.579792,-14.707098,0
-45.609062,-17.932985,1
-48.036167,7.040744,4
-39.452778,-16.92762,1
30.208736,3.905101,0
-23.615906,-12.885398,1
13.092172,-32.004288,2
-8.699819,-0.6406805,2
-56.113636,-12.8810215,4
-35.060574,-9.838962,1
-7.115249,-20.182283,2
-70.161934,-7.5284114,4
-16.309753,-6.2538347,1
23.188187,-28.235128,2
-6.7554708,-0.17876214,3
40.28607,-25.99356,0
0.1466163,6.072274,3
-43.719055,-10.06332,1
26.395664,-27.328642,2
-18.579224,-13.353723,2
-39.86034,19.186106,1
-76.98484,-12.311392,4
-50.927807,-10.352539,4
30.461285,15.0117235,0
13.974295,32.12459,3
-15.864078,-18.108183,2
57.081963,3.108939,0
18.443918,-36.517166,2
51.889996,5.699072,0
-32.408184,-24.504793,2
-8.039003,-17.898262,2
16.957136,27.90583,3
-35.794647,10.141433,1
6.581225,-9.543955,3
-56.135376,3.313917,4
27.613182,-24.249239,2
1.1259837,3.1693711,2
19.927036,-21.299799,2
23.418585,-25.989616,2
-69.534836,-12.4879,4
-20.343498,-17.078981,1
-58.30339,-8.681024,4
25.899248,-28.283768,0
-47.615135,-16.854069,1
9.280326,36.46282,3
-38.019306,-10.406935,1
71.08091,3.3525047,0
-69.00962,6.910064,4
49.142685,-2.4997647,0
-8.686471,-14.477716,2
-7.9603972,0.8501991,1
-58.092255,-13.153854,4
43.325176,-24.047403,0
30.570515,-16.495558,0
-48.03448,-18.129835,4
50.082787,0.3548904,0
-10.8621,-37.24172,2
39.096527,5.1152487,0
-38.626904,16.78939,4
-15.462853,-11.9107485,1
53.439392,-1.2208424,0
7.9264016,25.065779,3
25.734272,-27.849327,2
0.28289986,-23.834929,2
32.494507,0.81598043,0
-57.4116,5.372156,4
-19.512833,-12.002316,1
19.926878,-21.299097,2
1.1259935,3.1693926,2
37.866547,-19.39547,0
-67.15953,-14.624627,4
-57.38598,7.663495,4
-33.970806,-29.930857,2
-6.891086,-23.289265,2
-50.29814,-12.648988,1
-16.269417,-0.71301126,1
-33.37076,2.6033506,1
24.065107,-31.295338,2
-27.733389,42.268173,1
-7.9399104,-6.84084,1
6.833462,-28.732141,2
-43.321815,1.0893844,1
29.845291,-15.936202,2
41.51348,10.977876,0
-43.195553,11.061394,1
-57.599777,10.450567,4
38.524433,-15.023055,0
-53.34549,-11.2673025,4
-34.893017,-30.613483,1
-36.327103,-6.438987,1
-48.960503,-5.8744445,4
-3.8794782,-8.479321,2
41.70401,0.72248554,0
56.955616,-9.976563,3
26.709517,-16.611689,2
-64.14302,3.843284,4
-12.215538,-17.572443,2
-45.608807,-10.937912,1
-42.035885,4.110084,1
62.014072,13.120516,0
20.362616,-3.1638696,2
10.007282,-28.389944,2
-18.198513,-17.284147,1
-19.35845,-26.012503,2
